track_thresh,track_buffer,match_thresh,min_box_area,avg_dets,avg_tracks,id_switches,avg_fps,score
0.25,30,0.8,10,30.633333333333333,2.466666666666667,26,11.605101004651111,0.09135802469135802
0.35,30,0.8,10,30.633333333333333,1.6333333333333333,21,44.63177728151097,0.07424242424242423
0.5,30,0.8,10,30.633333333333333,1.3333333333333333,19,47.33795768559672,0.06666666666666667
0.35,20,0.8,10,30.633333333333333,1.6333333333333333,21,56.878679815951,0.07424242424242423
0.35,30,0.8,10,30.633333333333333,1.6333333333333333,21,60.71172608653906,0.07424242424242423
0.35,50,0.8,10,30.633333333333333,1.6333333333333333,21,63.01292317307316,0.07424242424242423
0.35,30,0.7,10,30.633333333333333,1.4666666666666666,22,61.89989689017624,0.06376811594202898
0.35,30,0.8,10,30.633333333333333,1.6333333333333333,21,62.20680210900479,0.07424242424242423
0.35,30,0.9,10,30.633333333333333,2.2666666666666666,32,62.86219579090618,0.06868686868686869
0.35,30,0.8,10,30.633333333333333,1.6333333333333333,21,63.22242158189302,0.07424242424242423
0.35,30,0.8,50,30.633333333333333,1.6333333333333333,21,61.51370832041909,0.07424242424242423
0.35,30,0.8,100,30.633333333333333,1.6333333333333333,21,62.87155585579464,0.07424242424242423
