type,img,cls_pred,conf,size_cat
FP,0000001_02999_d_0000005.jpg,car,0.6576671004295349,medium
FP,0000001_02999_d_0000005.jpg,motor,0.5684654116630554,medium
FP,0000001_02999_d_0000005.jpg,motor,0.542921781539917,medium
FP,0000001_02999_d_0000005.jpg,motor,0.5034109950065613,medium
FP,0000001_02999_d_0000005.jpg,car,0.4310148358345032,medium
FP,0000001_02999_d_0000005.jpg,motor,0.4291071891784668,medium
FP,0000001_02999_d_0000005.jpg,car,0.428364634513855,large
FP,0000001_02999_d_0000005.jpg,car,0.42089757323265076,small
FP,0000001_02999_d_0000005.jpg,car,0.3780156970024109,small
FP,0000001_02999_d_0000005.jpg,car,0.33586373925209045,medium
FP,0000001_02999_d_0000005.jpg,car,0.3332887291908264,medium
FP,0000001_02999_d_0000005.jpg,motor,0.31288912892341614,small
FP,0000001_02999_d_0000005.jpg,motor,0.3064338266849518,medium
FP,0000001_02999_d_0000005.jpg,people,0.2950442135334015,small
FP,0000001_02999_d_0000005.jpg,motor,0.2723795771598816,medium
FP,0000001_02999_d_0000005.jpg,awning-tricycle,0.25869524478912354,medium
FP,0000001_02999_d_0000005.jpg,motor,0.2537260949611664,medium
FN,0000001_02999_d_0000005.jpg,people,0.0,medium
FN,0000001_02999_d_0000005.jpg,pedestrian,0.0,small
FN,0000001_02999_d_0000005.jpg,pedestrian,0.0,medium
FN,0000001_02999_d_0000005.jpg,awning-tricycle,0.0,medium
FN,0000001_02999_d_0000005.jpg,people,0.0,medium
FN,0000001_02999_d_0000005.jpg,awning-tricycle,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,tricycle,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,tricycle,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,awning-tricycle,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,awning-tricycle,0.0,medium
FN,0000001_02999_d_0000005.jpg,awning-tricycle,0.0,medium
FN,0000001_02999_d_0000005.jpg,awning-tricycle,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,awning-tricycle,0.0,medium
FN,0000001_02999_d_0000005.jpg,awning-tricycle,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,awning-tricycle,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,bicycle,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,medium
FN,0000001_02999_d_0000005.jpg,motor,0.0,small
FN,0000001_02999_d_0000005.jpg,people,0.0,medium
FN,0000001_02999_d_0000005.jpg,people,0.0,small
FN,0000001_02999_d_0000005.jpg,car,0.0,medium
FN,0000001_02999_d_0000005.jpg,awning-tricycle,0.0,small
FN,0000001_02999_d_0000005.jpg,motor,0.0,small
