Class,AP@50,AP@50:95,Rank
car,0.7808105001555441,0.528565045752422,1
bus,0.5625414433222631,0.3976380499187801,2
motor,0.4421670496904391,0.18124961246223245,3
van,0.43235714617365306,0.2999363719168424,4
pedestrian,0.4157702312690946,0.17994106696869266,5
truck,0.3800887107131115,0.24674998069303195,6
people,0.31272305269832557,0.10878467803523187,7
tricycle,0.27198096756705425,0.14866359876472346,8
awning-tricycle,0.14697309424282756,0.08646235785903635,9
bicycle,0.12517658416258565,0.04984244882110557,10
