epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0494,1.96561,2.43227,1.02771,0.29125,0.17223,0.11716,0.06115,1.78217,1.5126,0.96937,0.000237412,0.000237412,0.000237412
2,182.395,1.81846,1.5759,0.9787,0.21386,0.17265,0.11543,0.05934,1.89335,1.47035,0.97688,0.000459724,0.000459724,0.000459724
3,268.973,1.76594,1.4624,0.9676,0.25321,0.23091,0.16517,0.08538,1.74545,1.39942,0.96255,0.000666327,0.000666327,0.000666327
4,355.249,1.73466,1.40683,0.95741,0.29265,0.24253,0.18451,0.09827,1.67801,1.32714,0.95092,0.000643314,0.000643314,0.000643314
5,452.223,1.72442,1.3648,0.95557,0.29667,0.25272,0.1989,0.10791,1.64652,1.27709,0.94636,0.000619752,0.000619752,0.000619752
6,538.897,1.7013,1.32559,0.94784,0.33425,0.24384,0.202,0.11041,1.63222,1.25275,0.9327,0.00059619,0.00059619,0.00059619
7,625.015,1.68821,1.30016,0.94526,0.32841,0.26577,0.22105,0.1209,1.60883,1.2464,0.93927,0.000572628,0.000572628,0.000572628
8,710.973,1.66831,1.26744,0.94061,0.3505,0.27845,0.23254,0.12684,1.60019,1.21001,0.93142,0.000549066,0.000549066,0.000549066
9,796.479,1.66326,1.25969,0.94093,0.35739,0.27941,0.23634,0.1275,1.59701,1.19612,0.93138,0.000525504,0.000525504,0.000525504
10,882.743,1.64701,1.2399,0.93601,0.35128,0.25681,0.21969,0.12144,1.61141,1.20807,0.93441,0.000501942,0.000501942,0.000501942
11,969.476,1.64288,1.22489,0.93356,0.37499,0.28521,0.24376,0.13428,1.55749,1.1677,0.92265,0.00047838,0.00047838,0.00047838
12,1056.24,1.63141,1.20813,0.93109,0.37319,0.28244,0.24858,0.13476,1.56759,1.16034,0.92366,0.000454818,0.000454818,0.000454818
13,1143.81,1.62713,1.20381,0.93018,0.36117,0.28493,0.24007,0.13339,1.55745,1.17004,0.92605,0.000431256,0.000431256,0.000431256
14,1230.78,1.61949,1.18875,0.92679,0.37498,0.2934,0.2533,0.13849,1.54103,1.1453,0.9191,0.000407694,0.000407694,0.000407694
15,1318.7,1.61069,1.17946,0.92443,0.37346,0.30133,0.25813,0.14233,1.54983,1.13439,0.91916,0.000384132,0.000384132,0.000384132
16,1405.95,1.60027,1.16821,0.92142,0.372,0.30213,0.26043,0.14312,1.53503,1.13769,0.91998,0.00036057,0.00036057,0.00036057
17,1492.64,1.59395,1.15977,0.9219,0.39779,0.29695,0.26302,0.14501,1.52135,1.12014,0.91616,0.000337008,0.000337008,0.000337008
18,1580.13,1.58132,1.14575,0.91899,0.39932,0.29865,0.26692,0.14731,1.5322,1.12511,0.91922,0.000313446,0.000313446,0.000313446
19,1667.31,1.58233,1.14387,0.919,0.39989,0.29266,0.26363,0.14604,1.52682,1.11886,0.91576,0.000289884,0.000289884,0.000289884
20,1754.29,1.58035,1.1317,0.91692,0.39442,0.30366,0.26996,0.14931,1.52016,1.10658,0.916,0.000266322,0.000266322,0.000266322
21,1836.69,1.51917,1.10605,0.92027,0.3978,0.29971,0.26098,0.14368,1.53113,1.12469,0.91696,0.00024276,0.00024276,0.00024276
22,1916.21,1.50112,1.08098,0.91591,0.38531,0.29869,0.2676,0.14841,1.52494,1.11257,0.9154,0.000219198,0.000219198,0.000219198
23,1996.01,1.49594,1.07002,0.91482,0.39785,0.3063,0.27362,0.15208,1.51693,1.10494,0.91286,0.000195636,0.000195636,0.000195636
24,2075.64,1.48862,1.06336,0.91324,0.39858,0.30488,0.27365,0.15318,1.50454,1.09631,0.91276,0.000172074,0.000172074,0.000172074
25,2155.12,1.48264,1.05277,0.91049,0.40998,0.30817,0.27492,0.15325,1.50699,1.09178,0.91214,0.000148512,0.000148512,0.000148512
26,2234.68,1.47626,1.04187,0.9092,0.41488,0.31065,0.28168,0.15693,1.50266,1.08623,0.91228,0.00012495,0.00012495,0.00012495
27,2314.65,1.46947,1.03478,0.90881,0.4142,0.31306,0.28211,0.1574,1.49842,1.07927,0.91076,0.000101388,0.000101388,0.000101388
28,2394.31,1.46604,1.03016,0.90801,0.41978,0.30771,0.27838,0.15619,1.4958,1.08055,0.90958,7.7826e-05,7.7826e-05,7.7826e-05
29,2473.89,1.45634,1.02041,0.90622,0.41592,0.31107,0.28326,0.15814,1.49266,1.07335,0.90761,5.4264e-05,5.4264e-05,5.4264e-05
30,2553.18,1.45092,1.01344,0.90297,0.40867,0.31014,0.28269,0.15806,1.48941,1.07099,0.90716,3.0702e-05,3.0702e-05,3.0702e-05
