epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.075,1.70005,1.90649,0.9934,0.31551,0.24052,0.19125,0.10282,1.57702,1.24035,0.95193,0.000236828,0.000236828,0.000236828
2,421.323,1.59957,1.23237,0.94124,0.34009,0.2673,0.21401,0.11796,1.52908,1.17483,0.92679,0.000465426,0.000465426,0.000465426
3,621.477,1.58494,1.19767,0.93281,0.35226,0.26829,0.22927,0.12708,1.50547,1.16677,0.92018,0.0006846,0.0006846,0.0006846
4,819.312,1.56604,1.16113,0.92626,0.35588,0.30924,0.25843,0.143,1.50099,1.11784,0.9227,0.000671588,0.000671588,0.000671588
5,1020.27,1.54475,1.12773,0.9238,0.37278,0.29309,0.25175,0.13799,1.49154,1.09378,0.91334,0.000657451,0.000657451,0.000657451
6,1218.54,1.53224,1.10482,0.91629,0.39094,0.31374,0.28127,0.15658,1.43477,1.05463,0.90356,0.000643314,0.000643314,0.000643314
7,1420.57,1.51884,1.08854,0.91419,0.42413,0.3129,0.28541,0.15867,1.43866,1.04444,0.90392,0.000629177,0.000629177,0.000629177
8,1621.04,1.50571,1.06906,0.91057,0.43494,0.32012,0.29815,0.16569,1.44567,1.02918,0.90946,0.00061504,0.00061504,0.00061504
9,1824.79,1.49455,1.06239,0.90672,0.42743,0.32622,0.29486,0.16674,1.40735,1.02389,0.8972,0.000600902,0.000600902,0.000600902
10,2028.27,1.49364,1.05098,0.90636,0.40562,0.34283,0.30957,0.17369,1.41444,1.01074,0.90169,0.000586765,0.000586765,0.000586765
11,210.026,1.48482,1.05124,0.9058,0.44766,0.3314,0.31073,0.17556,1.41916,1.03835,0.90001,0.000572628,0.000572628,0.000572628
12,411.593,1.4689,1.03362,0.90342,0.45553,0.33313,0.31038,0.17384,1.4213,1.0285,0.89851,0.000558491,0.000558491,0.000558491
13,610.382,1.47388,1.03379,0.90092,0.45011,0.3509,0.32831,0.18565,1.40079,1.00393,0.89406,0.000544354,0.000544354,0.000544354
14,810.738,1.45204,1.01832,0.89928,0.45317,0.35026,0.32729,0.18539,1.40937,1.01323,0.89479,0.000530216,0.000530216,0.000530216
15,1007.17,1.44814,1.00635,0.89822,0.48784,0.35261,0.33169,0.18966,1.39592,0.99272,0.89275,0.000516079,0.000516079,0.000516079
16,1208.76,1.45111,1.00111,0.896,0.47562,0.35343,0.34069,0.19236,1.40148,0.98574,0.89606,0.000501942,0.000501942,0.000501942
17,1410.83,1.43424,0.98563,0.89472,0.47162,0.34883,0.33397,0.19055,1.38888,0.98967,0.89143,0.000487805,0.000487805,0.000487805
18,1610.37,1.43654,0.98056,0.89184,0.48023,0.35891,0.34359,0.19734,1.38167,0.98106,0.89218,0.000473668,0.000473668,0.000473668
19,1811.42,1.42173,0.9671,0.89214,0.4794,0.36076,0.34284,0.19554,1.37941,0.9788,0.88966,0.00045953,0.00045953,0.00045953
20,2010.51,1.42867,0.97357,0.8915,0.46931,0.36255,0.34506,0.1955,1.39189,0.98534,0.89299,0.000445393,0.000445393,0.000445393
